id,input,prediction,rhetorical_figure,explanation,expected_output,raw_generation
test_132,"Gli amici di Rouhani, per il suo compleanno, gli fanno la sorpresa della ragazza che entra nella torta. [@user]",The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION.,OTHER,expresses situational irony,The sentence expresses situational irony. That's why is an example of OTHER.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Gli amici di Rouhani, per il suo compleanno, gli fanno la sorpresa della ragazza che entra nella torta. [@user] [/INPUT] [OUTPUT] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION. [/OUTPUT] </s> [INST] Given the sentence shows a sudden change of the topic. That's why is an example of INTERJECTION. [/INST] </s> [INST] The sentence expresses situational irony. That's why is an example of OTHER. [/INST] </s> [INST] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/INST] </s> [INST] The sentence expresses irony by mentioning something in a sudden way. That's why is an example of INTERJECTION. [/INST] </s> [INST] The sentence contains a sentence that contradicts the reality. That's why is an example of IM:FALSE ASSERTION. [/INST] </s> [INST] The sentence shows a sudden change of the topic. That's why is an example of INTERJECTION. [/INST] </s> [INST] The sentence involves a sentence that is used to make an impression or emphasize a point. That's why is an example of FIGURATIVE LANGUAGE. [/INST] </s> [INST] The sentence contains a sentence that contradicts the reality. That's why is an example of IM:FALSE ASSERTION. [/INST] </s> [INST] The sentence shows a sudden change of the topic. That's why is an example of INTERJECTION. [/INST] </s> [INST] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/INST] </s> [INST] The sentence expresses situational irony. That's why is an example of OTHER. [/INST] </s> [INST] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION. [/INST] </s> </s> [INST] Given"
test_20,"dei privati che finanziano le scuole statali non frega niente a nessuno/a? tutti/e a ripetere a pappagallo merito, merito ... #labuonascuola",The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION.,ANALOGY,involves similarity between two things that have different ontological concepts,The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] dei privati che finanziano le scuole statali non frega niente a nessuno/a? tutti/e a ripetere a pappagallo merito, merito ... #labuonascuola [/INPUT] [OUTPUT] The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/OUTPUT] </s> */utsch
The sentence shows a sudden change of the topic. That's why is an example of EX:CONTEXTUAL SHIFT. [/utsch] </s> */utsch
The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/utsch] </s> */utsch
The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/utsch] </s> */utsch
The sentence expresses an idea or thought that is opposite to the one expected. That's why is an example of IRONY. [/utsch] </s> */utsch
The sentence shows a moment of the topic is introduced in an unexpected way. That's why is an example of EX:CONTEXTUAL SHIFT. [/utsch] </s> */utsch
The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/utsch] </s> */utsch
The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/utsch] </s> */utsch
The sentence expresses an idea or thought that is opposite to the one expected. That's why is an example of IRONY. [/utsch] </s> */utsch
The sentence involves a comparison between two things that have different quantities. That's why is an example of SIMILE. [/utsch] </s> */utsch
The sentence shows a sudden change of the topic. That's why is an example of EX:CONTEXTUAL SHIFT. [/utsch] </s> */utsch
The sentence involves similarity between two things that have different"
test_82,Ma perchè scegliere Mario Monti quando ci sarebbe Chuck Norris?,The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,RHETORICAL QUESTION,asks a question in order to make a point rather than to elicit an answer,The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Ma perchè scegliere Mario Monti quando ci sarebbe Chuck Norris? [/INPUT] [OUTPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT] </s> </s> [INST] Given the sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/INST] </s> </s> [INST] The sentence involves expression of an idea that is opposite of the truth. That's why is an example of IRONY. [/INST] </s> </s> [INST] The sentence asks who is able to do something in order to point out that anyone can do it. That's why is an example of UNIVERSALIZATION. [/INST] </s> </s> [INST] The sentence expresses a sudden change of the topic. That's why is an example of NON-RELEVANT INFORMATION. [/INST] </s> </s> [INST] The sentence shows a figure of the earth as a circle. That's why is an example of GEOGRAPHICAL ANALOGY. [/INST] </s> </s> [INST] The sentence involves a comparison between two things that have different quantities. That's why is an example of PROPORTION. [/INST] </s> </s> [INST] The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/INST] </s> </s> [INST] The sentence involves a situation that is uncomfortable, but is used to make a point. That's why is an example of SYMBOLIC FRACTURE. [/INST] </s> </s> [INST] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/INST] </s> </s> [INST] The sentence asks a question in order to make a point rather than to elicit an answer. That's why is an example of RHETORICAL QUESTION. [/INST] </s> </"
test_97,la cosa bella del governo Monti è che ha acceso le speranze di tutti ... ... e le spegnerá pure ... #serviziocompleto,The sentence shows a sudden change of the topic. That's why is an example of EX:CONTEXT SHIFT.,EX:OXYMORON PARADOX,presents a contradiction that is explicit,The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] la cosa bella del governo Monti è che ha acceso le speranze di tutti ... ... e le spegnerá pure ... #serviziocompleto [/INPUT] [OUTPUT] The sentence shows a sudden change of the topic. That's why is an example of EX:CONTEXT SHIFT. [/OUTPUT] </s> [INST] The sentence reduces the facts of an idea considered unpleasant in order to soften the reality. That's why is an example of EX:APPHASIS. [/INST] </s> </s> [INST] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of EX:ANALOGY. [/INST] </s> </s> [INST] The sentence expresses a thought that opposes the common opinion. That's why is an example of EX:IRONY. [/INST] </s> </s> [INST] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of EX:IM:FALSE ASSERTION. [/INST] </s> </s> [INST] The sentence shows a sudden change of the topic. That's why is an example of EX:CONTEXT SHIFT. [/INST] </s> </s> [INST] The sentence reduces the facts of an idea considered unpleasant in order to soften the reality. That's why is an example of EX:APPHASIS. [/INST] </s> </s> [INST] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of EX:ANALOGY. [/INST] </s> </s> [INST] The sentence expresses a thought that opposes the common opinion. That's why is an example of EX:IRONY. [/INST] </s> </s> [INST] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of EX:IM:FALSE ASSERTION. [/INST] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>"
test_57,Chi è entrato nel cellulare di Jennifer Lawrence potrebbe entrare anche nel tuo. E troverebbe sempre le foto della Lawrence. [@user],The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,EX:CONTEXT SHIFT,shows a sudden change of the topic,The sentence shows a sudden change of the topic. That's why is an example of EX:CONTEXT SHIFT.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Chi è entrato nel cellulare di Jennifer Lawrence potrebbe entrare anche nel tuo. E troverebbe sempre le foto della Lawrence. [@user] [/INPUT] [OUTPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT] </s> [INST] The sentence shows a sudden change of the topic. That's why is an example of EX:IRONy. [/INST] </s> [INST] The sentence expresses an idea that is opposite to the reality. That's why is an example of EX:IRONy. [/INST] </s> [INST] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of EX:IM:FALSE ASSERTION. [/INST] </s>"
test_13,"Oggi tutti esperti di scuola su Twitter, come di nazionale durante i mondiali #labuonascuola",The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,ANALOGY,involves similarity between two things that have different ontological concepts,The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Oggi tutti esperti di scuola su Twitter, come di nazionale durante i mondiali #labuonascuola [/INPUT] [OUTPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </"
test_99,"Non aspettare che il Governo Monti prenda anche i tuoi regali di Natale ... Corri da noi, e potrai trovare IDEE REGALO a partire da 10 € ...",The sentence is used to make a strong impression or emphasize a point. That's why is an example of HYPERBOLE.,EX:OXYMORON PARADOX,presents a contradiction that is explicit,The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Non aspettare che il Governo Monti prenda anche i tuoi regali di Natale ... Corri da noi, e potrai trovare IDEE REGALO a partire da 10 € ... [/INPUT] [OUTPUT] The sentence is used to make a strong impression or emphasize a point. That's why is an example of HYPERBOLE. [/OUTPUT] </s> [INST] The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION. [/INST] </s> </s> [INST] The sentence expresses situational irony. That's why is an example of OTHER. [/INST] </s> </s> </s> [INST] The sentence shows a sudden change of the topic. That's why is an example of OTHER. [/INST] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>"
test_66,La scuola del futuro sarà così : - Elementari fino ai 15 anni - Medie fino ai 25 anni - Superiori fino ai 40 anni #labuonascuola,The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,IM:FALSE ASSERTION,contains a proposition that fails to make sense against the reality,The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] La scuola del futuro sarà così : - Elementari fino ai 15 anni - Medie fino ai 25 anni - Superiori fino ai 40 anni #labuonascuola [/INPUT] [OUTPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT] </s> </s> [INST] Given the sentence, identify the sentence expresses situational irony. If it is, specify whether it is an example of OTHER/SENSORY IRONY or OTHER/VERBAL IRONY. [/INST] </s> </s> [INST] The sentence shows a sudden change of the topic. That's why is an example of EX:INSERTION. [/INST] </s> </s> [INST] The sentence expresses irony by making a statement with an opposite meaning. That's why is an example of EX:OTHER/VERBAL IRONY. [/INST] </s> </s> [INST] The sentence contains a figure of speech that is used to make a strong impression or emphasize a point. That's why is an example of EX:HYPERBOLE. [/INST] </s> </s> [INST] The sentence shows a sudden change of the topic. That's why is an example of EX:INSERTION. [/INST] </s> </s> [INST] The sentence expresses irony by involving two statements that have different meanings. That's why is an example of EX:OTHER/VERBAL IRONY. [/INST] </s> </s> [INST] The sentence contains a figure of speech that is used to make a strong impression or emphasize a point. That's why is an example of EX:HYPERBOLE. [/INST] </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </"
test_67,"Matteo, se vuoi un colloquio chiarificatore sono disponibile nel mio ufficio ad Hogwarts tutti i mercoledì @user #labuonascuola",The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX.,IM:FALSE ASSERTION,contains a proposition that fails to make sense against the reality,The sentence contains a proposition that fails to make sense against the reality. That's why is an example of IM:FALSE ASSERTION.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] Matteo, se vuoi un colloquio chiarificatore sono disponibile nel mio ufficio ad Hogwarts tutti i mercoledì @user #labuonascuola [/INPUT] [OUTPUT] The sentence presents a contradiction that is explicit. That's why is an example of EX:OXYMORON PARADOX. [/OUTPUT] </s> </s> [INST] Given the sentence shows a sudden change of the topic. That's why is an example of EX:INCREMENTAL CHANGE OF THE SUBJECT. [/INST] </s> </s> [INST] The sentence expresses an idea that is opposite to the reality. That's why is an example of EX:IRONy. [/INST] </s> </s> [INST] The sentence contains a person who is not named. That's why is an example of EX:ANONYMITY. [/INST] </s> </s> [INST] The sentence shows a figure of speech that is used to make something unpleasant seem pleasant. That's why is an example of EX:BUFOONY. [/INST] </s> </s> [INST] The sentence involves a situation that is not what it seems to be. That's why is an example of EX:IRONy. [/INST] </s> </s> [INST] The sentence expresses a sentiment that is meant to be outrageous in order to make a point. That's why is an example of EX:FLIGHT OF IDEAS. [/INST] </s> </s> [INST] The sentence contains a sentence that fails to make sense against the reality. That's why is an example of EX:ABSURDITY. [/INST] </s> </s> [INST] The sentence shows a situation that is used to make a point about something else. That's why is an example of EX:PARALLELISM. [/INST] </s> </s> [INST] The sentence involves a situation that is used to reduce the truth to an unpleasant idea. That's why is an example of EX:CRUDITY. [/INST] </s> </s> [INST] The sentence expresses a sentiment that is opposite to the expected one."
test_19,"La buona scuola per ""Un mondo buono"". Spot da Mulino Bianco. Renzi nei panni di Banderas e gli insegnanti in ... http://t.co/YaljanN4IY",The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,ANALOGY,involves similarity between two things that have different ontological concepts,The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY.,"<s> [INST] Given the ironic sentence (INPUT), identify and return the rhetorical figure it exemplifies in (OUTPUT). Explain your reasoning first, and then answer with the rhetorical figure. [/INST] [INPUT] La buona scuola per ""Un mondo buono"". Spot da Mulino Bianco. Renzi nei panni di Banderas e gli insegnanti in ... http://t.co/YaljanN4IY [/INPUT] [OUTPUT] The sentence involves similarity between two things that have different ontological concepts. That's why is an example of ANALOGY. [/OUTPUT] </s> [INST] The sentence presents two situations that seem different at first glance but involve similar elements. That's why is an example of ANALOGY. [/INST] </s> [INST] The sentence shows a sudden change in the topic. That's why is an example of IRONIC SHIFT. [/INST] </s> [INST] The sentence involves a comparison between two things that are unlike each other. That's why is an example of SIMILE. [/INST] </s> [INST] The sentence contains a proposition that seems to make sense but actually involves a contradiction. That's why is an example of PARADOX. [/INST] </s> [INST] The sentence shows a change in the topic in order to make a point. That's why is an example of TRANSITION. [/INST] </s> [INST] The sentence involves a figure of speech that is used to make a statement seem truthful. That's why is an example of ARGUMENTIVE ASSERTION. [/INST] </s> [INST] The sentence presents a contradiction that is explicit. That's why is an example of EXPOSITORY PARADOX. [/INST] </s> [INST] The sentence involves a sentence that asks a question in order to make a point. That's why is an example of RHETORICAL QUESTION. [/INST] </s> [INST] The sentence shows a change in the tone of the sentence. That's why is an example of TONE SHIFT. [/INST] </s> [INST] The sentence involves a sentence that expresses a sudden idea. That's why is an example of EPIPHANY. [/INST] </s> [INST] The sentence contains a sentence that denies a statement in order to make a point. That's why is an example of SARCASM"
